,fec_candidate_id,short_title,first_name,last_name,party,date_of_birth,gender,state
408,H4MS02068,Rep.,Bennie,Thompson,D,1948-01-28,M,MS
409,H8CA01109,Rep.,Mike,Thompson,D,1951-01-24,M,CA
410,H8PA05071,Rep.,Glenn,Thompson,R,1959-07-27,M,PA
411,H4TX13014,Rep.,William,Thornberry,R,1958-07-15,M,TX
413,H6CO03139,Rep.,Scott,Tipton,R,1956-11-09,M,CO
414,H8NV03036,Rep.,Dina,Titus,D,1950-05-23,F,NV
415,H8NY21203,Rep.,Paul,Tonko,D,1949-06-18,M,NY
416,H4CA35031,Rep.,Norma,Torres,D,1965-04-04,F,CA
417,H4MI11097,Rep.,Dave,Trott,R,1960-10-16,M,MI
418,H8MA05143,Rep.,Niki,Tsongas,D,1946-04-26,F,MA
419,H2OH03067,Rep.,Michael,Turner,R,1960-01-11,M,OH
420,H6MI04113,Rep.,Fred,Upton,R,1953-04-23,M,MI
421,H2CA20094,Rep.,David,Valadao,R,1977-04-14,M,CA
422,H2CA50026,Rep.,Juan,Vargas,D,1961-03-07,M,CA
423,H2TX33073,Rep.,Marc,Veasey,D,1971-01-03,M,TX
424,H2TX27190,Rep.,Filemon,Vela,D,1963-02-13,M,TX
425,H2NY00010,Rep.,Nydia,Velázquez,D,1953-03-28,F,NY
426,H4IN01012,Rep.,Peter,Visclosky,D,1949-08-13,M,IN
427,H2MO02102,Rep.,Ann,Wagner,R,1962-09-13,F,MO
428,H4MI07103,Rep.,Tim,Walberg,R,1951-04-12,M,MI
429,H6OR02116,Rep.,Greg,Walden,R,1957-01-10,M,OR
430,H4NC06052,Rep.,Mark,Walker,R,1969-05-20,M,NC
431,H0IN02190,Rep.,Jackie,Walorski,R,1963-08-17,F,IN
432,H4CA45097,Rep.,Mimi,Walters,R,1962-05-14,F,CA
433,H6MN01174,Rep.,Tim,Walz,D,1964-04-06,M,MN
434,H4FL20023,Rep.,Debbie,Wasserman Schultz,D,1966-09-27,F,FL
435,H4CA23011,Rep.,Maxine,Waters,D,1938-08-15,F,CA
436,H4NJ12149,Rep.,Bonnie,Watson Coleman,D,1945-02-06,F,NJ
437,H2TX14149,Rep.,Randy,Weber,R,1953-07-02,M,TX
438,H0FL08208,Rep.,Daniel,Webster,R,1949-04-27,M,FL
439,H6VT00160,Rep.,Peter,Welch,D,1947-05-02,M,VT
440,H2OH02085,Rep.,Brad,Wenstrup,R,1958-06-17,M,OH
441,H4AR04048,Rep.,Bruce,Westerman,R,1967-11-18,M,AR
443,H2TX33040,Rep.,Roger,Williams,R,1949-09-13,M,TX
444,H2SC02059,Rep.,Joe,Wilson,R,1947-07-31,M,SC
445,H0FL17068,Rep.,Frederica,Wilson,D,1942-11-05,F,FL
446,H8VA01147,Rep.,Robert,Wittman,R,1959-02-03,M,VA
447,H0AR03055,Rep.,Steve,Womack,R,1957-02-18,M,AR
448,H0GA07133,Rep.,Rob,Woodall,R,1970-02-11,M,GA
449,H6KY03124,Rep.,John,Yarmuth,D,1947-11-04,M,KY
450,H0KS03137,Rep.,Kevin,Yoder,R,1976-01-08,M,KS
451,H2FL06109,Rep.,Ted,Yoho,R,1955-04-13,M,FL
452,H6AK00045,Rep.,Don,Young,R,1933-06-09,M,AK
453,S4IA00103,Rep.,David,Young,R,1968-05-11,M,IA
454,H8NY01148,Rep.,Lee,Zeldin,R,1980-01-30,M,NY
